maxQuiescenceDepth, maxCheckSearchDepth, nullMoveReduction, minExtensionHorizon, simpleCheckExtension, attackCheckExtension, forcedMoveExtension, mateExtension, rankAttackExtension, pawnOnSevenRankExtension, protectingPawnOnSixRankExtension, recaptureMinExtension, recaptureMaxExtension, recaptureBeginMinTreshold, recaptureBeginMaxTreshold, recaptureTargetTreshold, totalTime, totalNodeCount
18, 4, 5, 3, 0.9990234375, 0.9990234375, 0.6435546875, 0.9853515625, 0.9990234375, 0.9990234375, 0.46484375, 0.0, 0.9990234375, 3.561, 8.14, 0.0, 21372, 38413525
3, 2, 5, 7, 0.0966796875, 0.7666015625, 0.9990234375, 0.9990234375, 0.236328125, 0.6162109375, 0.9375, 0.0, 9.765625E-4, 1.438, 3.577, 0.0, 19962, 35213296
8, 5, 2, 7, 0.6083984375, 0.9990234375, 0.9990234375, 0.9990234375, 0.900390625, 0.791015625, 0.9990234375, 0.0, 0.9990234375, 0.0, 4.308, 1.29, 21167, 37548768
7, 5, 2, 5, 0.9990234375, 0.9990234375, 0.5419921875, 0.966796875, 0.2939453125, 0.7890625, 0.5166015625, 0.0, 0.845703125, 5.978, 5.979, 8.133, 21770, 39091212
12, 9, 5, 6, 0.0, 0.76171875, 0.6796875, 0.7255859375, 0.9990234375, 0.7080078125, 0.994140625, 0.6611328125, 0.662109375, 0.155, 3.846, 0.357, 20972, 37257144
10, 8, 4, 7, 0.5498046875, 0.9990234375, 0.8115234375, 0.78125, 0.5078125, 0.7265625, 0.744140625, 0.4052734375, 0.5078125, 7.193, 7.33, 0.0, 22183, 39582362
7, 6, 5, 7, 0.8466796875, 0.8896484375, 0.5224609375, 0.9853515625, 0.6396484375, 0.484375, 0.765625, 0.0, 0.890625, 0.0, 8.131, 0.757, 20575, 37921409
9, 6, 2, 7, 0.59375, 0.974609375, 0.38671875, 0.9990234375, 0.9697265625, 0.9990234375, 0.9990234375, 0.111328125, 0.55078125, 3.704, 5.398, 0.0, 21378, 38428262
1, 0, 5, 2, 0.400390625, 0.9638671875, 0.8798828125, 0.9990234375, 0.74609375, 0.810546875, 0.46875, 0.55078125, 0.6884765625, 0.0, 8.523, 3.737, 20362, 35826960
8, 7, 2, 5, 0.0126953125, 0.9990234375, 0.9990234375, 0.9990234375, 0.8212890625, 0.771484375, 0.7392578125, 0.0, 0.9990234375, 1.551, 4.364, 2.418, 20570, 36019520
14, 8, 2, 6, 0.0703125, 0.9990234375, 0.7802734375, 0.8740234375, 0.4541015625, 0.9990234375, 0.9990234375, 0.0, 0.806640625, 0.68, 4.108, 2.207, 20162, 35970371
11, 6, 5, 2, 0.73828125, 0.9921875, 0.9033203125, 0.3408203125, 0.2236328125, 0.9990234375, 0.8017578125, 0.2060546875, 0.5830078125, 1.908, 3.482, 0.487, 21171, 36728959
7, 6, 5, 7, 0.861328125, 0.9990234375, 0.8251953125, 0.9990234375, 0.6962890625, 0.9990234375, 0.736328125, 0.0, 0.814453125, 2.957, 2.958, 0.0, 22170, 40477390
4, 3, 5, 7, 0.841796875, 0.9990234375, 0.4033203125, 0.7822265625, 0.28515625, 0.71484375, 0.5810546875, 0.0, 0.9990234375, 1.375, 8.999, 1.112, 20567, 39954388
3, 2, 3, 7, 0.3486328125, 0.7041015625, 0.7177734375, 0.9990234375, 0.8369140625, 0.9287109375, 0.9990234375, 0.322265625, 0.8583984375, 0.0, 4.361, 3.111, 20967, 36779306
14, 1, 4, 7, 0.41796875, 0.9990234375, 0.9990234375, 0.9990234375, 0.17578125, 0.8955078125, 0.7236328125, 0.3154296875, 0.8798828125, 2.827, 4.795, 4.274, 21184, 37191267
9, 8, 5, 7, 0.2451171875, 0.9990234375, 0.9990234375, 0.9990234375, 0.490234375, 0.9990234375, 0.9990234375, 0.0, 0.5029296875, 1.022, 8.424, 1.47, 20977, 40025972
13, 3, 4, 6, 0.9990234375, 0.9990234375, 0.779296875, 0.9990234375, 0.9990234375, 0.64453125, 0.7119140625, 0.0, 0.5859375, 2.552, 3.542, 0.0, 20166, 35357659
17, 16, 4, 7, 0.5498046875, 0.8505859375, 0.7041015625, 0.6611328125, 0.4482421875, 0.9990234375, 0.65234375, 0.11328125, 0.9990234375, 2.096, 4.006, 0.0, 20363, 36053317
13, 6, 3, 7, 0.466796875, 0.58984375, 0.7294921875, 0.8505859375, 0.8017578125, 0.9990234375, 0.9990234375, 0.0, 0.9921875, 7.488, 7.489, 6.283, 20157, 35528630
12, 5, 5, 7, 0.9990234375, 0.9990234375, 0.3330078125, 0.9990234375, 0.9990234375, 0.625, 0.9990234375, 0.0654296875, 0.5009765625, 1.498, 8.372, 1.84, 20558, 36444796
